,Año,Denuncias Ingresadas,Denuncias Tramitadas,Edad 18-29 (%),Edad 30-49 (%),Edad 50-69 (%),Canal Más Denunciado,Programa Más Denunciado,Temática Principal
0,2017,4948,4145,35.0,40.0,20.0,Canal 13,Bienvenidos,Vulneración de derechos
1,2018,4054,2995,45.3,43.6,10.0,Canal 13,Vértigo,Discriminación y burlas
2,2019,9213,7635,42.0,44.0,10.0,TVN,Caso Fernanda Maciel,Tratamiento noticioso de crimen
3,2020,11797,9599,40.0,43.0,12.0,Mega,Matinales,Irresponsabilidad informativa
4,2021,12223,8866,41.5,43.5,11.0,Mega,Contigo en la Mañana / Estado Nacional,Cobertura política e ideológica
5,2022,11705,8433,42.0,43.0,11.5,Mega,Teletarde (Cobertura incendio),Cobertura inapropiada en emergencia
